Variables,Labels,Possible Values
lpa1_perc,Percentage of awake wear time spent  in light intensity (1.5 ≤ METs < 3) activity  on average based on 1 second epoch on average,
mpa1_perc,Percentage of awake wear time spent in moderate intensity (3 ≤ METs < 6) activity on average based on 1 second epoch on average,
vpa1_perc,Percentage of awake wear time spent in vigorous intensity (≥ 6 METs) activity on average based on 1 second epoch on average,
mvpa1_perc,Percentage of awake wear time spent in moderate-to-vigorous intensity (≥ 3 METs) activity on average based on 1 second epoch on average,
lpa30_perc,Percentage of awake wear time spent  in light intensity (1.5 ≤ METs < 3) activity  on average based on 30 second epoch on average,
mpa30_perc,Percentage of awake wear time spent in moderate intensity (3 ≤ METs < 6) activity on average based on 30 second epoch on average,
vpa30_perc,Percentage of awake wear time spent in vigorous intensity (≥ 6 METs) activity on average based on 30 second epoch on average,
mvpa30_perc,Percentage of awake wear time spent in moderate-to-vigorous intensity (≥ 3 METs) activity on average based on 30 second epoch on average,
lpa60_perc,Percentage of awake wear time spent  in light intensity (1.5 ≤ METs < 3) activity  on average based on 60 second epoch on average,
mpa60_perc,Percentage of awake wear time spent in moderate intensity (3 ≤ METs < 6) activity on average based on 60 second epoch on average,
vpa60_perc,Percentage of awake wear time spent in vigorous intensity (≥ 6 METs) activity on average based on 60 second epoch on average,
mvpa60_perc,Percentage of awake wear time spent in moderate-to-vigorous intensity (≥ 3 METs) activity on average based on 60 second epoch on average,
step_time_75_30,Number of minutes stepping with a cadence ≥ 75 over a duration of 30 seconds on average,
step_num_75_30,Number of steps with a cadence ≥ 75 over a duration of 30 seconds on average,
step_time_100_30,Number of minutes stepping with a cadence ≥ 100 over a duration of 30 seconds on average,
step_num_100_30,Number of steps with a cadence ≥ 100 over a duration of 30 seconds on average,
step_time_75_60,Number of minutes stepping with a cadence ≥ 75 over a duration of 60 seconds on average,
step_num_75_60,Number of steps with a cadence ≥ 75 over a duration of 60 seconds on average,
step_time_100_60,Number of minutes stepping with a cadence ≥ 100 over a duration of 60 seconds on average,
step_num_100_60,Number of steps with a cadence ≥ 100 over a duration of 60 seconds on average,
steps_sleep,Number of steps during sleep window on average on average,
step_min_sleep,Number of minutes stepping during sleep windown on average,
stand_min_sleep,Number of minutes standing during sleep window on average,
upright_min_sleep,Number of minutes upright during sleep window on average,
sed_min_sleep,Number of minutes sedentary during sleep windown on average,
sitstand_sleep,Number of sit-to-stand transitions during sleep windown on average,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
